[GET] http://localhost:8000/api/auth/me => [401] Unauthorized
[GET] http://localhost:3000/signup?_rsc=5c339 => [200] OK
[GET] http://localhost:3000/signup?_rsc=5c339 => [200] OK
[POST] http://localhost:8000/api/auth/signup => [200] OK
[GET] http://localhost:8000/api/auth/me => [200] OK
[GET] http://localhost:3000/?_rsc=6k3yh => [200] OK
[GET] http://localhost:8000/api/admin/upstream/channels => [403] Forbidden
[GET] http://localhost:8000/api/admin/upstream/channels => [403] Forbidden
[GET] http://localhost:8000/api/models => [200] OK
[GET] http://localhost:8000/api/models => [200] OK
[POST] http://localhost:8000/api/jobs => [200] OK
[POST] http://localhost:8000/api/jobs => [200] OK
[POST] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205/start => [200] OK
[POST] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b/start => [200] OK
[GET] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205/terminal.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205/agent_status.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205 => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b/terminal.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b/agent_status.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205/terminal.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/0cc9e7ebc5544c57a000c8e63eec0205/agent_status.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
[GET] http://localhost:8000/api/jobs/2be3532d313e42f6a3acf0df116f536b => [200] OK
