[GET] http://localhost:8000/api/auth/me => [401] Unauthorized
[POST] http://localhost:8000/api/auth/login => [200] OK
[GET] http://localhost:8000/api/auth/me => [200] OK
[GET] http://localhost:3000/?_rsc=5c339 => [200] OK
[GET] http://localhost:8000/api/models/live => [200] OK
[GET] http://localhost:8000/api/models/live => [200] OK
[POST] http://localhost:8000/api/jobs => [200] OK
[POST] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b/start => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b/terminal.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b/agent_status.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
[GET] http://localhost:8000/api/jobs/9801bd9947364d4e8604374a56b0680b => [200] OK
